Name,RuleId,ExtraId,Control Name,Registry Key,Registry Value,Registry Value Type,CSP Name,CSP Path,CSP Value Type,Default Value,Allowed Value,Expected Value,Severity,Applicability,Scenario,Validation,Category
AllowDatagramProcessingOnWinServer,,,This setting controls datagram processing for Network Protection is enabled on Server,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\NIS\Consumers\IPS,AllowDatagramProcessingOnWinServer,REG_DWORD,,,,0,"Range(0, 2)",Equals(0),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\NIS\Consumers\IPS"" -Name ""AllowDatagramProcessingOnWinServer""",Registry
AllowNetworkProtectionOnWinServer,,,This setting controls whether Network Protection is allows to be configured into block or Audit mode on Windows Server,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection,AllowNetworkProtectionOnWinServer,REG_DWORD,,,,1,"Range(0, 2)",Equals(1),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection"" -Name ""AllowNetworkProtectionOnWinServer""",Registry
ASRBlockAbuseOfExploitedVulnerableSignedDrivers,,,Block abuse of exploited vulnerable signed drivers,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,56a863a9-875e-4185-98a7-b882c64b5ce5,REG_DWORD,,,,1,"Range(0, 2)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""56a863a9-875e-4185-98a7-b882c64b5ce5""",Registry
ASRBlockAdobeReaderFromCreatingChildProcesses,,,Block Adobe Reader from creating child processes,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,REG_DWORD,,,,0,"Range(0, 2)",Equals(0),Informational,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c""",Registry
ASRBlockEXEFromEmailClientAndWebmail,,,Block executable content from email client and webmail,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,REG_DWORD,,,,0,"Range(0, 2)",Equals(0),Informational,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""be9ba2d9-53ea-4cdc-84e5-9b1eeee46550""",Registry
ASRBlockEXEFromRunningUnlessTrusted,,,"Block executable files from running unless they meet a prevalence, age, or trusted list criterion",HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,01443614-cd74-433a-b99e-2ecdc07bfc25,REG_DWORD,,,,1,"Range(0, 2)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""01443614-cd74-433a-b99e-2ecdc07bfc25""",Registry
ASRBlockJSVBSLaunchingDownloadedContent,,,Block JavaScript or VBScript from launching downloaded executable content,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,d3e037e1-3eb8-44c8-a917-57927947596d,REG_DWORD,,,,1,"Range(0, 2)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""d3e037e1-3eb8-44c8-a917-57927947596d""",Registry
ASRBlockLSASSCredentialStealing,,,Block credential stealing from the Windows local security authority subsystem (lsass.exe),HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,REG_DWORD,,,,1,"Range(0, 2)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2""",Registry
ASRBlockOfficeApplicationsFromCreatingChildProcesses,,,Block all Office applications from creating child processes,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,d4f940ab-401b-4efc-aadc-ad5f3c50688a,REG_DWORD,,,,0,"Range(0, 2)",Equals(0),Informational,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""d4f940ab-401b-4efc-aadc-ad5f3c50688a""",Registry
ASRBlockOfficeCommunicationApplicationFromCreatingChildProcesses,,,Block Office communication application from creating child processes,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,26190899-1602-49e8-8b27-eb1d0a1ce869,REG_DWORD,,,,0,"Range(0, 2)",Equals(0),Informational,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""26190899-1602-49e8-8b27-eb1d0a1ce869""",Registry
